id_0	id_1	gdp_per_capita_ppp
1	1	1845.8320014128728
1	2	1820.3043
1	3	1820.3043
1	4	1823.5006329317268
1	5	1820.3043
1	6	1820.3043
1	7	1864.51415
1	8	1820.3043
1	9	1820.3043000000002
1	10	1820.3043
1	11	1836.2020313207547
1	12	1845.697797283312
1	13	1898.6305840000002
1	14	1820.3043
1	15	1857.919467857143
1	16	1820.3043
1	17	1976.9763160714285
1	18	1928.2923838235292
1	19	1827.1653939655173
1	20	1820.3043
1	21	1820.3043
1	22	1874.9686794392524
1	23	1839.0783588235295
1	24	1887.2534727272728
1	25	1828.344183206107
1	26	1853.1643483146067
1	27	1820.3043000000002
1	28	1820.3043
1	29	1820.3042999999998
1	30	1820.3043
1	31	1820.3043
1	32	1820.3043
1	33	1820.3043
1	34	1829.2299330508474
2	1	30309.635
2	2	30309.635
3	1	46827.47
3	2	46827.47
3	3	46827.47
3	4	46827.47
3	5	46827.47
3	6	46827.47
3	7	46827.47
3	8	46827.47
3	9	46827.47
3	10	46827.47
3	11	46827.47
3	12	46827.47
3	13	46827.47
3	15	46827.47
3	16	46827.47
4	1	9808.217
4	2	7493.3057
4	3	10247.649000000001
4	4	8673.738
4	5	8949.46
4	6	8512.901
4	7	8435.355
4	8	10129.893
4	9	8151.0166
4	10	8685.228
4	11	16477.23
4	12	9974.799
5	1	13822.566
5	2	13822.566
5	3	13808.136696390924
5	4	13822.566
5	5	13822.566
5	6	13763.674351453623
5	7	13822.566
5	8	13822.566
5	9	13822.566
5	10	13822.566000000003
5	11	13822.566
5	12	13822.566
5	13	13822.566
5	14	13822.566
5	15	13822.566
5	16	13822.566
5	17	13822.566
5	18	13802.393863192183
5	19	13822.565999999999
5	20	13822.566
5	21	13822.566
5	22	13821.496924902218
5	23	13822.566
5	24	13822.566
5	25	13822.566
5	26	13822.566
5	27	13822.566
5	28	13822.566
5	29	13822.566
5	30	13822.566
5	31	13822.566
5	32	13822.566
5	33	13822.566
5	34	13822.566
5	35	13822.566
5	36	13822.566
5	37	13822.566
5	38	13822.566
5	39	13822.566
5	40	13822.566
5	41	13822.565999999999
5	42	13815.071353449397
5	43	13822.566
5	44	13756.005882275507
5	45	13822.566
5	46	13822.565999999999
5	47	13822.565999999999
5	48	13822.566
6	1	5574.068
7	2	35599.68
7	3	35599.68
7	5	35599.68
7	6	35599.68
7	7	35599.68
8	1	6937.0063
8	2	6937.0063
8	3	6937.0063
8	4	6847.70406175
8	5	6937.0063
8	6	6937.0063
8	7	6937.0063
8	8	6937.0063
8	9	6937.0063
8	10	6937.0063
8	11	6937.0063
8	12	6932.177385623053
8	13	6930.274132725298
8	14	6937.0063
8	15	6934.4249819067445
8	16	6937.0063
8	17	6903.031910630137
8	18	6908.167574139535
11	1	21615.307
11	3	21615.307
11	4	21615.307
11	5	21615.307
11	6	21615.307
11	8	21615.307
12	1	19587.663516301924
12	2	21570.84150773994
12	3	32557.534256333827
12	4	9868.113913109755
12	5	37258.81459602649
12	6	50324.32433333333
12	7	10413.353624257847
12	8	14386.764762616822
12	9	8587.677525773197
12	10	10923.167621301774
12	11	25184.78090781853
12	12	12541.997424019608
12	13	21562.990491694356
12	14	10342.031010178116
12	15	45554.146737029136
12	16	19379.348805897604
12	17	11820.579039235412
12	18	11533.924560266003
12	19	22421.31037969925
12	20	60748.41985750873
12	21	22288.20465509642
12	22	9441.829090553381
12	23	51603.844
12	24	10850.87031
13	1	7899.284
13	2	8174.16228125
13	3	7899.284
13	4	7899.284
13	5	8006.5535731707305
13	6	7899.284
13	7	7920.5115964912275
13	8	7898.364170454545
13	9	8157.992970588235
13	10	8130.760447368421
13	11	8137.016567567568
15	2	60051.88321212121
15	4	43029.266
15	5	43028.43878318384
15	6	52801.406
15	7	41230.090586451195
15	8	38929.324
15	9	34703.637
15	10	40764.413857142856
15	11	60165.66
16	1	30653.943013888886
16	2	37471.554106250005
16	3	36792.2398018018
16	4	43709.70968599035
16	5	50675.87565873016
16	6	38373.654257950526
16	7	45898.200843601895
16	8	46877.92057142857
16	8	46953.812
16	9	57279.336
17	1	16695.389
17	2	16673.241030395136
17	3	16695.389
17	4	16553.516338709676
17	5	16588.119426829267
17	6	16695.389
17	7	16482.645702409638
17	8	16218.971052173913
17	9	16503.91625925926
17	10	16695.389
18	1	22394.314
18	3	22394.314
18	5	22394.314
18	6	22394.314
18	7	22394.314
18	8	22394.314
18	9	22394.314
18	10	22394.314
18	11	22394.314
18	12	22394.314
18	15	22394.314
18	16	22394.314
18	17	22394.314
18	18	22394.314
18	19	22394.314
18	20	22394.314
18	21	22394.314
18	22	22394.314
18	23	22394.314
18	24	22394.314
18	27	22394.314
18	28	22394.314
18	29	22394.314
18	30	22394.314
18	32	22394.314
19	4	44182.04
19	5	44182.04
20	1	2805.9417114503817
20	2	2776.562030179028
20	3	3182.375335338346
20	4	3411.40004488189
20	5	2880.829929437229
20	6	2522.8285915492957
20	7	2497.4817
21	3	15425.736
21	4	15425.736
21	6	15425.736
21	7	15425.736
21	8	15425.736
21	10	15425.736
22	1	16608.61280482315
22	2	16526.83005583224
22	3	16667.17643647541
22	4	16531.104643356644
22	5	16621.033
22	6	16548.566694684796
23	1	58202.905999999995
23	2	42381.753795180724
23	3	30415.115681672025
24	1	8024.843999999999
24	2	8024.844
24	3	8024.844
24	4	8024.844000000001
24	5	8024.844
24	6	7926.346062745098
25	1	2615.9732346153846
25	2	1349.6304
25	3	1843.9040676470588
25	4	2615.872056962025
25	5	1029.0976846625767
25	6	1349.6304
25	7	2505.9292
25	8	1823.8427
25	9	2505.9292
25	10	2586.1418
25	11	2850.41889
25	12	1062.679173015873
26	2	52255.188
26	8	52255.188
27	1	7601.369
27	2	7601.369
27	3	7601.369000000001
27	4	7587.868046511628
27	5	7579.040499999999
27	6	7601.369
27	7	7601.369000000001
27	8	7601.369
27	9	6958.643892307692
27	10	7601.369
27	11	7601.369
27	12	7601.369
27	13	7601.369000000001
27	14	7601.369
27	15	7441.75188
27	16	7601.369
27	17	7601.369
27	18	7601.369
27	19	7525.3608476190475
27	20	7601.369
28	1	5048.899659459459
28	2	5936.397909242424
28	3	5408.865282886286
28	4	5746.789778454774
28	5	8400.449870866143
28	6	8038.041924867021
28	7	5593.139485618729
28	8	7006.689264815239
28	9	13410.171813704495
29	1	37794.555
30	1	11317.907
30	2	9208.572212740384
30	3	9138.50886453202
31	1	14868.23566563181
31	2	14876.332
31	3	14876.332
31	4	14876.332
31	5	14876.332
31	7	14861.086801552106
31	8	14865.042343434345
31	9	14876.332
31	11	14876.332
31	12	14865.385446441409
31	13	14876.332
31	14	14823.109333333336
31	15	14876.332
33	1	9524.017126263736
33	2	6547.911894578313
33	3	8600.041835820895
33	4	10470.331069160604
33	5	1024.7164689133974
33	6	7524.617989110604
33	7	20628.26
33	8	19181.08336397059
33	9	20544.73657109069
33	10	5720.693175444245
33	11	10478.488141329739
33	12	10466.870524843232
33	13	14819.542835257645
33	14	8607.85563199891
33	15	6962.752170075757
33	16	1857.456993055014
33	17	8807.425300664365
33	18	626.8923522601351
33	19	20978.708887681158
33	20	8380.631792663478
33	21	19445.668627531475
33	22	10460.641617467094
33	23	10507.451119755911
33	24	24781.863609609223
33	25	19718.425937285494
33	26	9371.080014712645
33	27	20544.28865179479
35	1	43441.58
35	4	43441.58
36	1	66647.164
36	2	66647.164
36	3	63813.54815384616
36	4	63813.54815384616
37	1	11400.068
37	2	15125.737704918032
37	3	12087.79603896104
37	4	13575.887388888888
37	5	38262.90047619048
37	6	9672.115265060242
37	7	9561.347041666666
37	8	10620.72717647059
37	9	10642.947
37	10	9263.650896825397
37	11	11850.143276119403
37	12	10664.58
37	13	9561.347
37	14	14049.253975728156
37	15	10249.688333333334
37	16	12287.45104347826
37	17	10633.415186440676
37	18	8670.704
37	19	8999.32224528302
37	20	12624.75475
37	21	16013.288183035713
37	22	17790.219896103896
37	23	10296.835
37	24	17886.311310344827
37	25	11459.701216216215
37	26	8825.859
37	27	14593.311749999999
37	28	10215.114055555556
38	1	1566.8179885365853
38	2	1592.2502844444446
38	3	1561.522
38	4	1561.522
38	5	1561.522
38	6	1561.522
38	7	1561.522
38	8	1559.9548831842576
38	9	1566.23721237785
38	10	1561.5220000000002
38	11	1561.522
38	12	1560.0022592677344
38	13	1573.8502896907216
39	1	692.67395
39	2	692.67395
39	3	697.074579
39	4	692.67395
39	5	692.67395
39	6	692.67395
39	7	692.67395
39	8	692.67395
39	9	692.6739500000001
39	10	692.67395
39	11	723.9781375
39	12	692.67395
39	13	692.67395
39	14	692.67395
39	15	692.67395
39	16	692.67395
39	17	692.67395
40	1	3278.2212
40	2	3278.2212
40	3	3278.2212
40	4	3278.2212
40	5	3278.2212
40	6	3278.2212
40	7	3278.2212
40	8	3278.2212
