"","country","id_1","population"
"1","AFG",1,2199618
"2","AFG",2,1098144
"3","AFG",3,1783106
"4","AFG",4,2242690
"5","AFG",5,726553
"6","AFG",6,929236
"7","AFG",7,1039496
"8","AFG",8,2036439
"9","AFG",9,1525164
"10","AFG",10,1351390
"11","AFG",11,1657368
"12","AFG",12,4092039
"13","AFG",13,969649
"14","AFG",14,8141892
"15","AFG",15,2308932
"16","AFG",16,817990
"17","AFG",17,1332352
"18","AFG",18,898502
"19","AFG",19,1600324
"20","AFG",20,901178
"21","AFG",21,740093
"22","AFG",22,3001557
"23","AFG",23,284174
"24","AFG",24,330084
"25","AFG",25,793321
"26","AFG",26,1175983
"27","AFG",27,257741
"28","AFG",28,1203722
"29","AFG",29,709518
"30","AFG",30,1088799
"31","AFG",31,2047606
"32","AFG",32,701848
"33","AFG",33,1035479
"34","AFG",34,573446
"35","AGO",1,460477.75
"36","AGO",2,1777846.61
"37","AGO",3,969189.86
"38","AGO",4,1246590.61
"39","AGO",5,377188.25
"40","AGO",6,318188.3
"41","AGO",7,1700781.83
"42","AGO",8,1119562.48
"43","AGO",9,1515059.63
"44","AGO",10,2890950.99
"45","AGO",11,14988192.83
"46","AGO",12,795614.83
"47","AGO",13,460510.63
"48","AGO",14,853554.31
"49","AGO",15,1082029.24
"50","AGO",16,575056.22
"51","AGO",17,819394.03
"52","AGO",18,707509.71
"53","ALA",1,970
"54","ALA",2,2389
"55","ALA",3,1422
"56","ALA",4,7789
"57","ALA",5,1074
"58","ALA",6,3879
"59","ALA",7,11953
"60","ALA",8,644
"61","ALA",9,704
"62","ALA",10,4820
"63","ALA",11,966
"64","ALA",12,25887
"65","ALA",13,4575
"66","ALA",14,191
"67","ALA",15,2332
"68","ALA",16,982
"69","ALB",1,114463.48
"70","ALB",2,109723.84
"71","ALB",3,298550.44
"72","ALB",4,260789.39
"73","ALB",5,272036.3
"74","ALB",6,56849.52
"75","ALB",7,199616.3
"76","ALB",8,71875.15
"77","ALB",9,130015.57
"78","ALB",10,198287.69
"79","ALB",11,1038964.46
"80","ALB",12,177810.63
"81","AND",1,23343
"82","AND",2,12936
"83","AND",3,18362
"84","AND",4,18047
"85","AND",5,15190
"86","AND",6,7872
"87","AND",7,11997
"88","ARE",1,2598423.36
"89","ARE",2,445016.64
"90","ARE",3,3652789.3
"91","ARE",4,215024.86
"92","ARE",5,378605.06
"93","ARE",6,2219423.57
"94","ARE",7,81598.15
"95","ARG",1,18113609.01
"96","ARG",2,411493.55
"97","ARG",3,1145722.56
"98","ARG",4,650749.27
"99","ARG",5,3080916.75
"100","ARG",6,3630960.31
"101","ARG",7,1070512.77
"102","ARG",8,1333784.97
"103","ARG",9,587249.03
"104","ARG",10,754227.7
"105","ARG",11,347446.97
"106","ARG",12,395578.04
"107","ARG",13,1947335.14
"108","ARG",14,1285045.07
"109","ARG",15,664669.17
"110","ARG",16,745883.46
"111","ARG",17,1394025.23
"112","ARG",18,765291.29
"113","ARG",19,521822.61
"114","ARG",20,411756.44
"115","ARG",21,3453343.17
"116","ARG",22,964221.74
"117","ARG",23,161407.83
"118","ARG",24,1590577.06
"119","ARM",1,139571.94
"120","ARM",2,275158.45
"121","ARM",3,339066.85
"122","ARM",4,1050503.65
"123","ARM",5,222007.58
"124","ARM",6,223292.2
"125","ARM",7,203771.7
"126","ARM",8,235053.8
"127","ARM",9,116021.31
"128","ARM",10,108311.95
"129","ARM",11,46043.32
"130","ASM",1,20705.69
"131","ASM",2,569.36
"132","ASM",3,2.21
"133","ASM",4,29203.56
"134","ATF",1,858316
"135","ATF",2,592038
"136","ATF",3,87584
"137","ATF",4,111301
"138","ATG",1,1715.07
"139","ATG",3,9481.43
"140","ATG",4,55918.46
"141","ATG",5,7474.91
"142","ATG",6,7184.86
"143","ATG",7,4771.22
"144","ATG",8,3072.94
"145","AUS",2,425419.55
"146","AUS",4,429.09
"147","AUS",5,8091274.18
"148","AUS",6,245186.59
"149","AUS",7,5074348.17
"150","AUS",8,1893053.26
"151","AUS",9,560657.4
"152","AUS",10,6355731.39
"153","AUS",11,2645971.98
"154","AUT",1,289946.19
"155","AUT",2,549156.5
"156","AUT",3,1684345.37
"157","AUT",4,1418420.07
"158","AUT",5,539637.42
"159","AUT",6,1224975.58
"160","AUT",7,735867.19
"161","AUT",8,376537.95
"162","AUT",9,1826518.17
"163","AZE",1,5156015
"164","AZE",2,3085974
"165","AZE",3,494162
"166","AZE",4,1959887
"167","AZE",5,390407
"168","AZE",6,1454694
"169","AZE",7,654029
"170","AZE",8,845778
"171","AZE",9,959447
"172","AZE",10,980642
"173","BDI",1,488704.23
"174","BDI",2,1023517.12
"175","BDI",3,912922.4
"176","BDI",4,982979.52
"177","BDI",5,390090.2
"178","BDI",6,681833.15
"179","BDI",7,1026714.19
"180","BDI",8,618066.47
"181","BDI",9,994657.01
"182","BDI",10,998438.21
"183","BDI",11,664942.71
"184","BDI",12,414351.26
"185","BDI",13,1229284.07
"186","BDI",14,401690.29
"187","BDI",15,975581.82
"188","BDI",16,620900.14
"189","BDI",17,703553.72
"190","BEL",1,1247616.29
"191","BEL",2,6680984.97
"192","BEL",3,3687997.38
"193","BEN",1,1133054.15
"194","BEN",2,983599.67
"195","BEN",3,1870633.29
"196","BEN",4,1608628.74
"197","BEN",5,821441.39
"198","BEN",6,682268.11
"199","BEN",7,879661.78
"200","BEN",8,491575.6
"201","BEN",9,525870.03
"202","BEN",10,1372894.73
"203","BEN",11,760862.06
"204","BEN",12,1009071.23
"205","BES",1,25735
"206","BES",2,2539
"207","BES",3,5870
"208","BFA",1,1657665.17
"209","BFA",2,808375.82
"210","BFA",3,1397290.52
"211","BFA",4,1447575.42
"212","BFA",5,1434407.93
"213","BFA",6,738248.71
"214","BFA",7,2909216.98
"215","BFA",8,1600914.03
"216","BFA",9,1950664.72
"217","BFA",10,1348636.83
"218","BFA",11,796243.09
"219","BFA",12,1209905.44
"220","BFA",13,759795.68
"221","BGD",1,8663468.81
"222","BGD",2,33321077.04
"223","BGD",3,58956735.11
"224","BGD",4,17110305.89
"225","BGD",5,21142653.49
"226","BGD",6,18087216.47
"227","BGD",7,12402154.09
"228","BGR",1,305330.29
"229","BGR",2,404121.72
"230","BGR",3,166354.82
"231","BGR",4,104577.26
"232","BGR",5,1385742.13
"233","BGR",6,221112.32
"234","BGR",7,139444.17
"235","BGR",8,115850.71
"236","BGR",9,119136.11
"237","BGR",10,121484.06
"238","BGR",11,246618.83
"239","BGR",12,124507.4
"240","BGR",13,229527.06
"241","BGR",14,646349.73
"242","BGR",15,103189.04
"243","BGR",16,205192.95
"244","BGR",17,159908.83
"245","BGR",18,100484.32
"246","BGR",19,178434.75
"247","BGR",20,106355
"248","BGR",21,230990.92
"249","BGR",22,300590.31
"250","BGR",23,106155.91
"251","BGR",24,480088.89
"252","BGR",25,227655.09
"253","BGR",26,78832.46
"254","BGR",27,145843.83
"255","BGR",28,111401.93
"256","BHR",1,378126.58
"257","BHR",2,353454.28
"258","BHR",3,204075.41
"259","BHR",4,301035.68
"260","BHR",5,165567.25
"261","BHS",1,676.39
"262","BHS",2,605.37
"263","BHS",3,1698.56
"264","BHS",4,1408.38
"265","BHS",5,1298.59
"266","BHS",6,10532.6
"267","BHS",7,497.58
"268","BHS",8,1704.71
"269","BHS",9,9826.71
"270","BHS",10,254.84
"271","BHS",11,1525.93
"272","BHS",12,9062.3
"273","BHS",13,51.44
"274","BHS",14,1651.16
"275","BHS",15,3686.07
"276","BHS",16,831.83
"277","BHS",17,3113.85
"278","BHS",18,795.48
"279","BHS",19,295.67
"280","BHS",20,698.58
"281","BHS",21,273384.4
"282","BHS",22,2080.02
"283","BHS",23,4135.2
"284","BHS",24,3536.85
"285","BHS",25,67.47
"286","BHS",26,59.2
"287","BHS",27,844.35
"288","BHS",28,1260.14
"289","BHS",29,1458.92
"290","BHS",30,1924.26
"291","BHS",32,41592.08
"292","BIH",1,134047.74
"293","BIH",2,2402321.96
"294","BIH",3,1207957.5
"295","BLR",1,1351841.85
"296","BLR",2,1384155.6
"297","BLR",3,995042.09
"298","BLR",4,1007856.42
"299","BLR",5,3498383.22
"300","BLR",6,1124936.03
"301","BLZ",1,119278.51
"302","BLZ",2,97498.34
"303","BLZ",3,49987.62
"304","BLZ",4,42794.84
"305","BLZ",5,45173.09
"306","BLZ",6,32253.63
"307","BMU",1,9223
"308","BMU",2,2267
"309","BMU",3,13020
"310","BMU",4,7250
"311","BMU",5,9109
"312","BMU",6,8063
"313","BMU",7,573
"314","BMU",8,12553
"315","BMU",9,6605
"316","BMU",10,8682
"317","BMU",11,10958
"318","BOL",1,614056.4
"319","BOL",2,2002052.74
"320","BOL",3,505264.89
"321","BOL",4,3022049.25
"322","BOL",5,584207.2
"323","BOL",6,185092.73
"324","BOL",7,914274.93
"325","BOL",8,3156918.52
"326","BOL",9,556585.84
"327","BRA",1,933820.41
"328","BRA",2,3419767.91
"329","BRA",3,919856.83
"330","BRA",4,4313176.53
"331","BRA",5,14936000.65
"332","BRA",6,9502266.04
"333","BRA",7,3171897.69
"334","BRA",8,3906040.38
"335","BRA",9,7231119.1
"336","BRA",10,7660381.14
"337","BRA",11,2881291.38
"338","BRA",12,3786587.76
"339","BRA",13,21505829.22
"340","BRA",14,9549891.93
"341","BRA",15,4055274.87
"342","BRA",16,11420588.58
"343","BRA",17,9674738.86
"344","BRA",18,3407703.53
"345","BRA",19,17649340.8
"346","BRA",20,3603027.82
"347","BRA",21,11217659.43
"348","BRA",22,1803558.26
"349","BRA",23,610253.06
"350","BRA",24,45341286.47
"351","BRA",25,7274349.06
"352","BRA",26,2390268.09
"353","BRA",27,1685978.4
"354","BRB",1,52686.18
"355","BRB",2,4728.39
"356","BRB",3,20330.86
"357","BRB",4,32837.04
"358","BRB",5,8452.05
"359","BRB",6,6021.61
"360","BRB",7,8862.3
"361","BRB",8,85410.1
"362","BRB",9,11313.17
"363","BRB",10,31422.79
"364","BRB",11,15527.53
"365","BRN",1,64603.27
"366","BRN",2,322101.95
"367","BRN",3,8890.98
"368","BRN",4,47563.17
"369","BTN",1,20359.59
"370","BTN",2,96171.21
"371","BTN",3,29930.91
"372","BTN",4,3380.05
"373","BTN",5,14929.95
"374","BTN",6,17889.79
"375","BTN",7,48324.23
"376","BTN",8,44298.6
"377","BTN",9,26401.65
"378","BTN",10,25201.68
"379","BTN",11,43633.55
"380","BTN",12,74175.41
"381","BTN",13,48239.07
"382","BTN",14,128317.22
"383","BTN",15,61464.45
"384","BTN",16,16704.1
"385","BTN",17,23949.32
"386","BTN",18,44897.62
"387","BTN",19,20721.47
"388","BTN",20,23493.45
"389","BWA",1,678193.37
"390","BWA",2,29632.59
"391","BWA",3,115859.75
"392","BWA",4,211104.5
"393","BWA",5,57225.36
"394","BWA",6,3459.24
"395","BWA",7,60220.79
"396","BWA",8,114721.59
"397","BWA",9,400696.7
"398","BWA",10,64728.31
"399","BWA",11,78965.86
"400","BWA",12,186423.3
"401","BWA",13,53493.1
"402","BWA",14,155747.4
"403","BWA",15,247187.24
"404","BWA",16,1828.62
"405","CAF",1,54079.6
