country,id_1,population
AFG,1,2199618
AFG,2,1098144
AFG,3,1783106
AFG,4,2242690
AFG,5,726553
AFG,6,929236
AFG,7,1039496
AFG,8,2036439
AFG,9,1525164
AFG,10,1351390
AFG,11,1657368
AFG,12,4092039
AFG,13,969649
AFG,14,8141892
AFG,15,2308932
AFG,16,817990
AFG,17,1332352
AFG,18,898502
AFG,19,1600324
AFG,20,901178
AFG,21,740093
AFG,22,3001557
AFG,23,284174
AFG,24,330084
AFG,25,793321
AFG,26,1175983
AFG,27,257741
AFG,28,1203722
AFG,29,709518
AFG,30,1088799
AFG,31,2047606
AFG,32,701848
AFG,33,1035479
AFG,34,573446
XAD,1,20014
XAD,2,24141
ALA,1,970
ALA,2,2389
ALA,3,1422
ALA,4,7789
ALA,5,1074
ALA,6,3879
ALA,7,11953
ALA,8,644
ALA,9,704
ALA,10,4820
ALA,11,966
ALA,12,25887
ALA,13,4575
ALA,14,191
ALA,15,2332
ALA,16,982
ALB,1,175283
ALB,2,171808
ALB,3,461942
ALB,4,402153
ALB,5,423364
ALB,6,86897
ALB,7,316231
ALB,8,121509
ALB,9,205850
ALB,10,341347
ALB,11,1618634
ALB,12,286486
DZA,1,1291256
DZA,2,609984
DZA,3,701272
DZA,4,6185606
DZA,5,1182776
DZA,6,446278
DZA,7,1416689
DZA,8,2076760
DZA,9,1384072
DZA,10,1959672
DZA,11,1046006
DZA,12,1113872
DZA,13,1500554
DZA,14,1703236
DZA,15,1755264
DZA,16,2311968
DZA,17,455366
DZA,18,1199309
DZA,19,702871
DZA,20,619397
DZA,21,790190
DZA,22,111504
DZA,23,1030916
DZA,24,657485
DZA,25,1011656
DZA,26,1802158
DZA,27,1236790
DZA,28,1309472
DZA,29,1262734
DZA,30,1248633
DZA,31,479633
DZA,32,3099009
DZA,33,1043943
DZA,34,1092472
DZA,35,1194489
DZA,36,2483014
DZA,37,566221
DZA,38,998039
DZA,39,1522981
DZA,40,787319
DZA,41,1108634
DZA,42,298255
DZA,43,1595165
DZA,44,127795
DZA,45,1008518
DZA,46,907268
DZA,47,1635469
DZA,48,1525574
ASM,1,27651
ASM,2,1330
ASM,3,11
ASM,4,37698
AND,1,23343
AND,2,12936
AND,3,18362
AND,4,18047
